Number of flows,cheat,cheated
27,0.017104893460809158,-0.015996752508735414
28,-0.09052604605077084,0.026373567113388594
29,-0.007460500238566811,0.007466622831002177
30,-0.003069324878521479,0.0026433459791043836
2,0.0,0.0
3,-0.20563195808775375,0.04533898305084746
4,0.06973221632134041,-0.011653822406400095
5,-0.021445221445221443,-0.017063031311159976
6,0.011981488561604288,-0.008864412622447628
7,-0.0867043514359,0.0558732362804024
8,0.013451315707425318,-0.028437260014368575
9,0.02409738652397539,-0.016353170638884924
10,-0.031232150554131543,-0.16126405700901356
11,0.02985577062930599,-0.00404630375171482
12,-0.007907318000308222,-0.006259761124710439
13,0.03546385671091594,-0.04260803699636412
14,0.02319414842920888,-0.01598339186355138
15,0.09272886581405089,0.0009628855252033428
16,0.01013220160803167,0.005306274475740811
17,-0.03861553819266124,-0.12195693340924467
18,0.039314650256227664,0.02140283219522965
19,-0.00046970670754039386,0.0010789581306380955
20,0.020705776163537904,-0.010746657566700952
21,-0.03133634566909843,-0.05539121093555317
22,0.22079548059750517,0.12798758658783183
23,-0.014119590301139674,0.015550508511789027
24,0.024020640589930902,-0.05076098103925477
25,0.015439414381320548,-0.02343931756401218
26,0.008273117678464174,0.021188470897247565
27,-0.021906520797446837,0.09835801632631776
28,0.017363802472492883,0.020001639754561745
29,-0.007121816074069176,0.010081742600581978
30,0.026416538907729815,0.04015270692127327
2,0.10512929207291224,-0.09390382430897387
3,-0.4193061840120664,0.23159144893111638
4,0.0,0.0
5,0.0006273525721455458,-6.636465188774058e-05
6,-0.01879220560615073,0.06010534730777472
7,0.0,0.0
8,0.1786376672356278,0.07396102686359227
9,0.39845187643282043,0.03163867522555476
10,0.2642673949283668,-0.15215750388527846
11,-0.015221425075839377,-0.003797082792761327
12,0.0691590307882758,-0.014086169835126347
13,0.07218982068018938,0.021222373981497133
14,-0.043256893016127104,-0.08865730414309873
15,-0.005009959893482027,-0.013064757846506538
16,-0.02073543155377938,0.008299468936776255
17,-0.023579478404751806,-0.009388035971896394
18,-0.006035261521537241,0.006433890724321222
19,-0.0024623750821549106,0.014396057032461513
20,0.08323502834970214,-0.03476684018596021
21,0.07968065281686412,-0.03599819082550332
22,-0.08233558717693688,0.10490486864288244
23,0.18713280063785892,-0.071680519755926
24,0.1854115112875847,0.10995810579403274
25,0.010862915808082678,0.03311241816028645
26,0.0075700987076647895,-0.0010676157521581518
27,0.03869165261742577,0.03270683472831765
28,0.040935488826352104,-0.015091634412851643
29,-0.0024364778220061886,-0.008507345129807393
30,0.2284572239407754,0.013862260960033904
2,0.07706650093225606,-0.13916947250280584
3,0.3345266507557677,-0.2355832241153342
4,-0.07668318523581681,0.12871989303546125
5,0.0,0.00015518311607697082
6,-0.1171170535054779,0.05802575297088699
7,0.028988414233861212,0.07152686059122293
8,0.022869160875237028,0.030459202807004863
9,-0.012170275921674242,0.003027165794256676
10,-0.03235177808294196,0.03502631486850636
11,-0.00823816831204065,-0.016306638618156278
12,0.039183368060291365,0.028292552958893144
13,0.14399343574921977,-0.02925083447433111
14,0.001645203548431597,-0.0032887372571418333
15,0.03476788197096864,0.0453173012576807
16,0.018894531451020727,0.04053442936449922
17,0.022905206040296253,-0.004389085110235643
18,0.06132483323896508,-0.028394053271559788
19,0.04141246129565966,-0.023187425562286923
20,0.06702928137516531,-0.025764787375079878
21,0.10711233603281216,-0.002670858939087599
22,0.030133844261004458,-0.02466805364558318
23,-0.00012755212446179866,0.014401578593244502
24,0.020412278129445596,-0.028453862525583223
25,-0.008880021411393763,-0.019100104082888855
26,-0.0006434816431971043,0.014850387991420716
27,-0.02916825557007509,0.022795265738869523
28,0.014132744606758894,-0.043755141462560466
29,-0.003531404252887407,-0.002604745244359788
30,0.0014921679717781837,-0.00036956680015043326
2,-0.132890365448505,0.34485241180705545
3,0.0,0.0
4,0.04186152237932941,-0.026772167424982295
5,0.03250917886110619,-0.050809556691064774
6,0.01657704330338601,-0.014612516585116623
7,0.10620304331618534,-0.046390753273042755
8,-0.007102453040501483,0.003570140091396262
9,0.008861219171962895,0.006158374277563336
10,0.0013514821551757253,-0.010963489484499087
11,-0.010914384381621504,-0.008390894191160465
12,0.003403479525036571,0.0007765095093238578
13,-0.0555273567773808,-0.08728150996716587
14,0.04816766784597434,0.05805011439014566
15,-0.07418425487223095,-0.00021121453843794824
16,0.00893177109467508,-0.0027931118767470144
17,0.014421775054251976,-0.003165573342436478
18,0.06931871959374875,-0.023076350653690392
19,0.01746836149367213,-0.025449459647130756
20,0.10742691095856174,-0.0935156112871533
21,0.0020960727776932284,-0.001294563472139335
22,0.19570053312589336,0.14061882107641493
23,-0.0015421247053519903,-0.019553796328479367
24,-0.057417778060412976,0.08187514654599769
25,0.006966752658352116,0.028560722494476883
26,0.014858736539210281,-0.003914298442593782
27,0.06843052835532418,0.01723854070548531
28,-0.010639739781714135,-0.030986363611364077
29,0.014580157343863313,-0.01451873714661754
30,0.09665412667433568,0.032289838080138564
2,0.0,0.0
3,0.04767184035476718,-0.008544087491455913
4,0.01888086440488187,0.13415616132293945
5,0.11711274513166288,-0.015307150050352469
6,0.11412815506004181,-0.04222165301338363
7,0.01927763863811392,-0.020752928238622313
8,0.04969407376522526,0.31790562160328806
9,0.14086955783889685,-0.05941211013240263
10,0.06365358380553852,0.14956509421745418
11,0.026277374535606034,-0.016237540461825982
12,-0.031744200802626084,0.017366567067029808
13,0.0033472222628417453,-0.019229292959797938
14,0.044596629878875235,0.010466491812521786
15,0.035569997547851055,0.029159608344247464
16,-0.011956269888932228,0.037785872135375154
17,-0.06255159111730187,0.057680012328311756
18,-0.007411301240191774,0.005292797403522428
19,0.049402620164474075,-0.0210412567211732
20,0.02141339916291592,-0.015079462322669362
21,0.05192151957181925,-0.016522508638420006
22,0.03520570329910595,-0.0028550861113801093
23,0.015090979451542851,-0.008398898996680622
24,-0.0227315821341072,0.023479152066831575
25,0.01607299256708952,0.02180946066119003
26,0.08233133455586503,0.023190904745032954
27,0.004300594657768586,-0.004650771511563438
28,0.04713918484095595,-0.032783102995513416
29,0.019345329507250073,0.0005952364635284942
30,0.06118152733817341,-0.041088156563048525
2,0.001969796454366382,-0.0008628127696289905
3,0.0,0.0
4,0.0,0.0
5,-0.0008479366873940079,0.001084010840108401
6,-0.06370341026185232,0.06127227469245131
7,0.1299205694243862,-0.05752623237747656
8,0.13395269693173406,-0.0079976073456019
9,0.01356291967599552,-0.06875757655959969
10,-0.024155773473627552,0.036378084129119234
11,-0.019683101207626064,-0.07691019595302048
12,-0.03945722952217276,-0.008284042292547792
13,-0.0008155367139404719,0.006471893417178665
14,0.02048900474188872,-0.02833676714366697
15,0.007356151004450404,-0.01526524095412065
16,0.013573690983771165,0.006200746758539809
17,0.0010720665267702379,-0.006670770262363176
18,0.12484943772001279,-0.07726113743533453
19,-0.035885789729678326,0.11907921797698093
20,-0.010274527854450983,0.056799752467494226
21,0.017623243025063656,-0.011129838294135476
22,-0.0044421511464446985,0.02628736585502286
23,-0.059435547730564676,0.00619566960882851
24,-0.018609298944424025,0.004281157123715407
25,0.043211797771141175,0.02058558637695452
26,-0.030453462212288337,-0.009152329588448534
27,0.017956160199211937,-0.0035540366486109987
28,-0.007480837064547363,-0.005893902098274968
29,0.03446594147401068,-0.003692429685158773
30,0.004005266862639105,-0.018688444569710742
2,0.0,0.0
3,0.0005299417064122947,-0.00031017369727047146
4,-0.044069686751048116,0.03656291764549627
5,0.0,0.0
6,0.04246348127824332,-0.024023059670179855
7,-0.010092503618288373,0.021433227868003855
8,-0.17492905573166567,0.03134032418669759
9,-0.09491012981609441,0.11248152816630497
10,0.0752724469241096,-0.05460531407795487
11,0.037368670195387005,0.10955029729334072
